,0,1
631,3.439657795535469e-24,Asset25Asset8
632,3.410463228594219e-24,Asset25Asset9
633,3.60862664110455e-24,Asset25Asset10
634,4.045965808538181e-24,Asset25Asset11
635,1.480144758470188e-16,Asset25Asset12
636,3.723407616500001e-24,Asset25Asset13
637,3.50328097487232e-24,Asset25Asset14
638,3.497953919127378e-24,Asset25Asset15
639,3.4215787234430826e-24,Asset25Asset16
640,3.421796103237107e-24,Asset25Asset17
641,1.2802620065676723e-14,Asset25Asset18
642,1.7278209841266268e-16,Asset25Asset19
643,2.1672241181388607e-16,Asset25Asset20
644,1.900420862896512e-16,Asset25Asset21
645,1.6070862004518043e-16,Asset25Asset22
646,3.3593924329719265e-24,Asset25Asset23
647,7.0251603529481e-24,Asset25Asset24
648,9.627566466517283e-15,Asset25Asset26
649,3.400280592051597e-24,Asset25Asset27
650,4.5904130479780874e-20,Asset26Asset1
651,1.7620517708152456e-19,Asset26Asset2
652,3.364498550088362e-20,Asset26Asset3
653,1.6246972488440894e-19,Asset26Asset4
654,0.0,Asset26Asset5
655,0.0,Asset26Asset6
656,0.0,Asset26Asset7
657,0.0,Asset26Asset8
658,1.6713558154941685e-19,Asset26Asset9
659,0.0,Asset26Asset10
660,2.712247313550297e-28,Asset26Asset11
661,0.0,Asset26Asset12
662,1.12141830443372e-19,Asset26Asset13
663,0.0,Asset26Asset14
664,1.1069111616850761e-19,Asset26Asset15
665,1.6246972488440894e-19,Asset26Asset16
666,2.4244578527160546e-21,Asset26Asset17
667,1.3126805457835433e-19,Asset26Asset18
668,1.2932639590842938e-19,Asset26Asset19
669,2.1692217935943603e-20,Asset26Asset20
670,0.0,Asset26Asset21
671,0.0,Asset26Asset22
672,1.671716675875151e-19,Asset26Asset23
673,4.142729052351251e-20,Asset26Asset24
674,1.5412381894536587e-19,Asset26Asset25
675,0.0,Asset26Asset27
676,0.0,Asset27Asset1
677,0.0,Asset27Asset2
678,0.0,Asset27Asset3
679,0.0,Asset27Asset4
680,4.5500510306724464e-27,Asset27Asset5
681,7.202342309640174e-27,Asset27Asset6
682,6.2419091251823605e-27,Asset27Asset7
683,0.0,Asset27Asset8
684,0.0,Asset27Asset9
685,0.0,Asset27Asset10
686,0.0,Asset27Asset11
687,1.538045078806149e-26,Asset27Asset12
688,0.0,Asset27Asset13
689,1.702699716084718e-27,Asset27Asset14
690,0.0,Asset27Asset15
691,0.0,Asset27Asset16
692,8.003113769089305e-27,Asset27Asset17
693,0.0,Asset27Asset18
694,0.0,Asset27Asset19
695,0.0,Asset27Asset20
696,0.0,Asset27Asset21
697,1.687175354476694e-27,Asset27Asset22
698,0.0,Asset27Asset23
699,0.0,Asset27Asset24
700,0.0,Asset27Asset25
701,0.0,Asset27Asset26
